species;var;State;latitude;longitude;Data
Picea jezoensis;hondoensis;JP;36.53;139.23;GBIF
Picea jezoensis;hondoensis;JP;36.11;136.55;GBIF
Picea jezoensis;;JP;35.883333;138.166667;GBIF
Picea jezoensis;;JP;36.45;137.316667;GBIF
Picea jezoensis;;JP;36.45;137.316667;GBIF
Picea jezoensis;;JP;36.45;137.316667;GBIF
Picea jezoensis;;JP;36.533333;137.633333;GBIF
Picea jezoensis;;JP;36.25;137.6;GBIF
Picea jezoensis;;JP;36.4;137.133333;GBIF
Picea jezoensis;;JP;36.55;137.55;GBIF
Picea jezoensis;;JP;36.75;137.75;GBIF
Picea jezoensis;;JP;36.483333;137.633333;GBIF
Picea jezoensis;;JP;36.783333;137.566667;GBIF
Picea jezoensis;;JP;36.7;137.566667;GBIF
Picea jezoensis;hondoensis;JP;35.975278;137.946389;GBIF
Picea jezoensis;hondoensis;JP;35.973833;138.364222;GBIF
Picea jezoensis;hondoensis;JP;35.935124;138.24449;GBIF
Picea jezoensis;hondoensis;JP;35.270844;138.616364;GBIF
Picea jezoensis;hondoensis;JP;35.251797;138.643822;GBIF
Picea jezoensis;hondoensis;JP;35.401827;138.557527;GBIF
Picea jezoensis;hondoensis;JP;36.822222;139.446667;GBIF
Picea jezoensis;hondoensis;JP;36.817778;139.453611;GBIF
Picea jezoensis;hondoensis;JP;36.656389;138.548333;GBIF
Picea jezoensis;hondoensis;JP;36.051944;138.363611;GBIF
Picea jezoensis;hondoensis;JP;36.775;139.358333;GBIF
Picea jezoensis;hondoensis;JP;36.002778;138.683889;GBIF
Picea jezoensis;hondoensis;JP;36.754167;139.063889;GBIF
Picea jezoensis;hondoensis;JP;36.683056;139.31;GBIF
Picea jezoensis;hondoensis;JP;36.824444;139.360556;GBIF
Picea jezoensis;hondoensis;JP;36.8525;139.348333;GBIF
Picea jezoensis;hondoensis;JP;36.886667;139.270833;GBIF
Picea jezoensis;hondoensis;JP;36.8475;139.335833;GBIF
Picea jezoensis;hondoensis;JP;36.6375;139.328333;GBIF
Picea jezoensis;hondoensis;JP;36.799722;139.348611;GBIF
Picea jezoensis;hondoensis;JP;36.651944;139.327222;GBIF
Picea jezoensis;hondoensis;JP;36.892222;139.370278;GBIF
Picea jezoensis;hondoensis;JP;36.929722;139.290833;GBIF
Picea jezoensis;hondoensis;JP;36.618056;138.527778;GBIF
Picea jezoensis;hondoensis;JP;36.541667;138.412778;GBIF
Picea jezoensis;hondoensis;JP;36.466111;138.593889;GBIF
Picea jezoensis;hondoensis;JP;35.54695;138.03993;GBIF
Picea jezoensis;hondoensis;JP;35.54695;138.03993;GBIF
Picea jezoensis;hondoensis;JP;35.51426;137.82173;GBIF
Picea jezoensis;hondoensis;JP;35.59853;137.90976;GBIF
Picea jezoensis;hondoensis;JP;35.51426;137.82173;GBIF
Picea jezoensis;hondoensis;JP;35.54695;138.03993;GBIF
Picea jezoensis;hondoensis;JP;35.44656;137.74905;GBIF
Picea jezoensis;hondoensis;JP;35.51426;137.82173;GBIF
Picea jezoensis;hondoensis;JP;36.80624;138.20679;GBIF
Picea jezoensis;hondoensis;JP;35.59853;137.90976;GBIF
Picea jezoensis;hondoensis;JP;35.44656;137.74905;GBIF
Picea jezoensis;jezoensis;JP;39.31153;140.55292;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;jezoensis;JP;43.4856;144.4592;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;hondoensis;JP;39.79977;140.22009;GBIF
Picea jezoensis;jezoensis;JP;42.95581;144.07153;GBIF
Picea jezoensis;hondoensis;JP;35.99528;138.15862;GBIF
Picea jezoensis;hondoensis;JP;35.6515;138.79738;GBIF
Picea jezoensis;hondoensis;JP;35.6515;138.79738;GBIF
Picea jezoensis;hondoensis;JP;35.82707;137.95355;GBIF
Picea jezoensis;hondoensis;JP;35.70887;138.44705;GBIF
Picea jezoensis;hondoensis;JP;35.70887;138.44705;GBIF
Picea jezoensis;hondoensis;JP;35.70887;138.44705;GBIF
Picea jezoensis;hondoensis;JP;36.51491;138.52658;GBIF
Picea jezoensis;hondoensis;JP;35.50053;138.76135;GBIF
Picea jezoensis;jezoensis;JP;42.31548;140.97348;GBIF
Picea jezoensis;jezoensis;JP;42.31548;140.97348;GBIF
Picea jezoensis;jezoensis;JP;42.31548;140.97348;GBIF
Picea jezoensis;hondoensis;JP;36.23799;137.97145;GBIF
Picea jezoensis;;JP;37.02769;139.38788;GBIF
Picea jezoensis;hondoensis;JP;36.00384;137.54054;GBIF
Picea jezoensis;hondoensis;JP;36.40219;138.24918;GBIF
Picea jezoensis;hondoensis;JP;36.06525;137.66879;GBIF
Picea jezoensis;hondoensis;JP;36.06525;137.66879;GBIF
Picea jezoensis;hondoensis;JP;36.549;138.395;GBIF
Picea jezoensis;;JP;43.178;140.861;GBIF
Picea jezoensis;;JP;43.14;140.933;GBIF
Picea jezoensis;;JP;43.123;141.035;GBIF
Picea jezoensis;;JP;43.237;140.989;GBIF
Picea jezoensis;;JP;43.674657;142.907239;GBIF
Picea jezoensis;;JP;43.38571;142.55232;GBIF
Picea jezoensis;hondoensis;JP;35.876111;138.180833;GBIF
Picea jezoensis;hondoensis;JP;34.174722;136.105;GBIF
Picea jezoensis;hondoensis;JP;34.1825;136.101389;GBIF
Picea jezoensis;;RU;43.34333;133.65638;GBIF
Picea jezoensis;;RU;43.49416;133.57833;GBIF
Picea jezoensis;;CN;42.786504;128.514494;GBIF
Picea jezoensis;komarovii;CN;41.812003;126.91814;GBIF
Picea jezoensis;komarovii;CN;43.622609;128.346866;GBIF
Picea jezoensis;microsperma;CN;46.809805;129.814957;GBIF
Picea jezoensis;jezoensis;JP;42.72;141.25;GBIF
Picea jezoensis;hondoensis;JP;35.37;138.73;GBIF
Picea jezoensis;jezoensis;JP;43.77;142.5;GBIF
Picea jezoensis;hondoensis;JP;35.2;139.02;GBIF
Picea jezoensis;jezoensis;JP;44.2;142.13;GBIF
Picea jezoensis;hondoensis;JP;39.75;140.8;GBIF
Picea jezoensis;jezoensis;JP;45.27;142.2;GBIF
Picea jezoensis;jezoensis;JP;45.18;141.25;GBIF
Picea jezoensis;jezoensis;JP;42.42;142.58;GBIF
Picea jezoensis;jezoensis;KR;35.33;127.73;GBIF
Picea jezoensis;jezoensis;RU;55.77;160.23;GBIF
Picea jezoensis;jezoensis;JP;45.27;142.2;GBIF
Picea jezoensis;komarovii;KP;40.02;125.75;GBIF
Picea jezoensis;jezoensis;RU;50;143;GBIF
Picea jezoensis;jezoensis;RU;55.77;160.23;GBIF
Picea jezoensis;jezoensis;RU;56.43;137.17;GBIF
Picea jezoensis;jezoensis;RU;56.43;137.17;GBIF
Picea jezoensis;hondoensis;JP;34.1825;136.101278;GBIF
Picea jezoensis;hondoensis;JP;36.883301;139.383;GBIF
Picea jezoensis;;RU;54.355717;142.66905;GBIF
Picea jezoensis;;RU;54.338333;142.644817;GBIF
Picea jezoensis;hondoensis;JP;36.433333;138.366667;GBIF
Picea jezoensis;hondoensis;JP;35.866667;137.5;GBIF
Picea jezoensis;;RU;54.883333;158.833333;GBIF
Picea jezoensis;;CN;42.833333;130.333333;GBIF
Picea jezoensis;;JP;42.699694;141.569861;GBIF
Picea jezoensis;hondoensis;JP;36.811722;139.375389;GBIF
Picea jezoensis;komarovii;CN;42.3;128.083333;GBIF
Picea jezoensis;;RU;54.883333;158.833333;GBIF
Picea jezoensis;;JP;45.016667;141.916667;GBIF
Picea jezoensis;;JP;43.416667;144.1;GBIF
Picea jezoensis;;KR;35.316667;127.566667;GBIF
Picea jezoensis;;RU;56;160.166667;GBIF
Picea jezoensis;;JP;43.366667;142.383333;GBIF
Picea jezoensis;;RU;46.641333;142.91025;GBIF
Picea jezoensis;;RU;47.4282;142.768667;GBIF
Picea jezoensis;;RU;47.4282;142.768667;GBIF
Picea jezoensis;;RU;46.976233;142.81855;GBIF
Picea jezoensis;;RU;47.25205;142.805733;GBIF
Picea jezoensis;;JP;35.20785;139.07013;GBIF
Picea jezoensis;;RU;44.35377;146.10599;GBIF
Picea jezoensis;;JP;43.06934;141.34804;GBIF
Picea jezoensis;;CN;44.34072;129.48285;GBIF
Picea jezoensis;;JP;45.521;141.937;GBIF
Picea jezoensis;;RU;44.36802;146.23273;GBIF
Picea jezoensis;;JP;35.35887;138.72997;GBIF
Picea jezoensis;;RU;50.58889;135;GBIF
