species;State;latitude;longitude;Data
Pinus koraiensis;JP;35.854444;138.196944;GBIF
Pinus koraiensis;JP;35.76202;137.93719;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;JP;35.646756;139.272852;GBIF
Pinus koraiensis;KR;37.787611;127.1755;GBIF
Pinus koraiensis;KR;37.787222;127.176861;GBIF
Pinus koraiensis;KR;37.65;128.125;GBIF
Pinus koraiensis;JP;34.57366;135.77455;GBIF
Pinus koraiensis;CN;40.916667;124.833333;GBIF
Pinus koraiensis;CN;42.333333;129.166667;GBIF
Pinus koraiensis;CN;42.333333;129.166667;GBIF
Pinus koraiensis;CN;47.25194;128.81111;GBIF
Pinus koraiensis;CN;47.85167;128.80917;GBIF
Pinus koraiensis;CN;47.185;128.88278;GBIF
Pinus koraiensis;CN;47.18139;128.89444;GBIF
Pinus koraiensis;CN;47.18306;128.89167;GBIF
Pinus koraiensis;CN;47.185;128.88306;GBIF
Pinus koraiensis;CN;42.39583;127.99056;GBIF
Pinus koraiensis;CN;42.78028;127.98417;GBIF
Pinus koraiensis;CN;42.76722;127.97444;GBIF
Pinus koraiensis;CN;42.24889;128.16583;GBIF
Pinus koraiensis;CN;42.21889;128.18444;GBIF
Pinus koraiensis;CN;42.43972;128.98778;GBIF
Pinus koraiensis;CN;42.4;128.08333;GBIF
Pinus koraiensis;CN;48.1;129.21667;GBIF
Pinus koraiensis;RU;43.95667;132.42861;GBIF
Pinus koraiensis;RU;43.60028;134.30083;GBIF
Pinus koraiensis;;38.18000;127.40000;GBIF
Pinus koraiensis;;38.18000;127.40000;GBIF
Pinus koraiensis;;37.60036;128.27997;GBIF
Pinus koraiensis;;37.45933;128.14282;GBIF
Pinus koraiensis;;37.45687;128.14453;GBIF
Pinus koraiensis;;37.45987;128.14316;GBIF
Pinus koraiensis;;40.00833;116.42500;GBIF
Pinus koraiensis;;35.06667;135.75000;GBIF
Pinus koraiensis;;43.49187;133.67668;GBIF
Pinus koraiensis;;43.58864;132.46581;GBIF
Pinus koraiensis;;43.54887;132.42584;GBIF
Pinus koraiensis;;43.49187;133.67668;GBIF
Pinus koraiensis;;43.61065;132.50927;GBIF
Pinus koraiensis;;43.54887;132.42584;GBIF
Pinus koraiensis;;43.54887;132.42584;GBIF
Pinus koraiensis;;43.58864;132.46581;GBIF
Pinus koraiensis;;42.78650;128.51449;GBIF
Pinus koraiensis;;43.17500;133.86027;GBIF
Pinus koraiensis;;43.21666;131.96666;GBIF
Pinus koraiensis;;44.45000;135.38333;GBIF
Pinus koraiensis;;38.18333;127.40000;GBIF
Pinus koraiensis;;47.77532;128.91852;GBIF
Pinus koraiensis;;41.29275;123.79908;GBIF
Pinus koraiensis;;42.78650;128.51449;GBIF
Pinus koraiensis;;46.98606;128.02501;GBIF
Pinus koraiensis;;34.98000;128.35000;GBIF
Pinus koraiensis;;40.65000;140.88000;GBIF
Pinus koraiensis;;38.65000;128.10000;GBIF
Pinus koraiensis;;42.80000;132.98000;GBIF
Pinus koraiensis;;48.27728;135.03864;GBIF
Pinus koraiensis;;48.28663;135.05438;GBIF
Pinus koraiensis;;35.49820;137.99500;GBIF
Pinus koraiensis;;38.18333;127.40000;GBIF
Pinus koraiensis;;35.92303;137.44972;GBIF
Pinus koraiensis;;47.00000;129.00000;GBIF
Pinus koraiensis;;42.22833;131.99944;GBIF
Pinus koraiensis;;42.33333;129.16667;GBIF
Pinus koraiensis;;35.85440;138.19700;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;35.64676;139.27285;GBIF
Pinus koraiensis;;34.57370;135.77500;GBIF
Pinus koraiensis;;40.91667;124.83333;GBIF
Pinus koraiensis;;42.33333;129.16667;GBIF
Pinus koraiensis;;42.33333;129.16667;GBIF
Pinus koraiensis;;47.25194;128.81111;GBIF
Pinus koraiensis;;47.85167;128.80917;GBIF
Pinus koraiensis;;47.18500;128.88278;GBIF
Pinus koraiensis;;47.18139;128.89444;GBIF
Pinus koraiensis;;47.18306;128.89167;GBIF
Pinus koraiensis;;47.18500;128.88306;GBIF
Pinus koraiensis;;42.39583;127.99056;GBIF
Pinus koraiensis;;42.78028;127.98417;GBIF
Pinus koraiensis;;42.76722;127.97444;GBIF
Pinus koraiensis;;42.24889;128.16583;GBIF
Pinus koraiensis;;42.21889;128.18444;GBIF
Pinus koraiensis;;42.43972;128.98778;GBIF
Pinus koraiensis;;42.40000;128.08333;GBIF
Pinus koraiensis;;48.10000;129.21667;GBIF
Pinus koraiensis;;43.95667;132.42861;GBIF
